Account,Description,Debit,Credit,Category
4000,Gross Receipts,,1250000,Income
5000,Cost of Goods Sold,950000,,Expense
6000,Salaries and Wages,180000,,Expense
6100,Employee Benefits,25000,,Expense
6200,Payroll Taxes,15000,,Expense
6300,Rent Expense,48000,,Expense
6400,Utilities,18000,,Expense
6500,Insurance,12000,,Expense
6600,Advertising,8000,,Expense
6700,Supplies,15000,,Expense
6800,Equipment Rental,6000,,Expense
6900,Professional Services,5000,,Expense
7000,Interest Income,,8000,Income
7100,Dividend Income,,3000,Income
7200,Equipment Sales,,5000,Income
7300,Interest Expense,4000,,Expense
7400,Depreciation,35000,,Expense
7500,Amortization,2000,,Expense
7600,Charitable Contributions,3000,,Expense
7700,Meals and Entertainment,8000,,Expense
7800,Travel Expense,4000,,Expense
7900,Office Expense,3000,,Expense
8000,Bank Charges,500,,Expense
8100,Miscellaneous Expense,2000,,Expense 
